,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
962,2020/2021,Brest,Metz,1-1,1-3,2-4,Unknown,14:00,1,1,1,3,2,4,2,4,6,Away
963,2020/2021,Nice,Saint-Étienne,0-0,0-1,0-1,Unknown,12:00,0,0,0,1,0,1,0,1,1,Away
964,2020/2021,Montpellier,Lens,0-1,1-1,1-2,Unknown,16:00,0,1,1,1,1,2,1,2,3,Away
965,2020/2021,Lyon,Bordeaux,1-0,1-1,2-1,Unknown,20:00,1,0,1,1,2,1,1,2,3,Home
966,2020/2021,Nimes,Lorient,0-0,1-0,1-0,Unknown,18:00,0,0,1,0,1,0,0,1,1,Home
967,2020/2021,Saint-Étienne,Lyon,0-2,0-3,0-5,Unknown,20:00,0,2,0,3,0,5,2,3,5,Away
968,2020/2021,Rennais,Lille,0-1,0-0,0-1,Unknown,16:00,0,1,0,0,0,1,1,0,1,Away
969,2020/2021,Dijon,Strasbourg,0-0,1-1,1-1,Unknown,14:00,0,0,1,1,1,1,0,2,2,Draw
970,2020/2021,Reims,Brest,1-0,0-0,1-0,Unknown,14:00,1,0,0,0,1,0,1,0,1,Home
971,2020/2021,Metz,Nantes,1-0,1-0,2-0,Unknown,14:00,1,0,1,0,2,0,1,1,2,Home
972,2020/2021,Bordeaux,Angers,2-1,0-0,2-1,Unknown,12:00,2,1,0,0,2,1,3,0,3,Home
973,2020/2021,Monaco,Marseille,0-1,3-0,3-1,Unknown,20:00,0,1,3,0,3,1,1,3,4,Home
974,2020/2021,Lorient,Dijon,1-2,2-0,3-2,Unknown,20:00,1,2,2,0,3,2,3,2,5,Home
975,2020/2021,Lens,Nice,0-0,0-1,0-1,Unknown,16:00,0,0,0,1,0,1,0,1,1,Away
976,2020/2021,PSG,Montpellier,1-0,3-0,4-0,Unknown,20:00,1,0,3,0,4,0,1,3,4,Home
977,2020/2021,Lyon,Metz,0-0,0-1,0-1,Unknown,20:00,0,0,0,1,0,1,0,1,1,Away
978,2020/2021,Lille,Reims,0-1,2-0,2-1,Unknown,16:00,0,1,2,0,2,1,1,2,3,Home
979,2020/2021,Nantes,Lens,1-0,0-1,1-1,Unknown,14:00,1,0,0,1,1,1,1,1,2,Draw
980,2020/2021,Nice,Bordeaux,0-0,0-3,0-3,Unknown,14:00,0,0,0,3,0,3,0,3,3,Away
981,2020/2021,Strasbourg,Saint-Étienne,1-0,0-0,1-0,Unknown,14:00,1,0,0,0,1,0,1,0,1,Home
982,2020/2021,Marseille,Nimes,0-0,1-2,1-2,Unknown,16:00,0,0,1,2,1,2,0,3,3,Away
983,2020/2021,Brest,Rennais,1-1,0-1,1-2,Unknown,12:00,1,1,0,1,1,2,2,1,3,Away
